"*For any cells that have more than one value, please use a pipe (|) to separate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REQUIRED ,REQUIRED ,REQUIRED ,REQUIRED ,REQUIRED ,REQUIRED ,REQUIRED: if additional volumes ,OPTIONAL: if additional volumes,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,OPTIONAL,,,,,,,,,,
Title,Unique identifier,Link to digitized copy,Creator,Date,Place of publication and publisher,URL ,Label,Contributing author(s),Alternate title,Date digitized,Edition,Extent,Series,Description,Table of Contents,Provenance,Language,Subject,Spatial coverage,Temporal coverage,Relation,Rights,Bibliographic citation,,,,,,,,,,
"第一回特別展覧会目録、第二回特別展覧会目録〔合本〕 / Exhibition catalogue of the 1st and 2nd special exhibition (combined) Tokyo Imperial Museum, List of the works of the Exhibition of Japanese Art held at the Paris World Exposition in 1900",00AA2710,http://www.tobunken.go.jp/~joho/japanese/collection/paris/paris-e.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1901-04-00,東京 : 東京帝室博物館 / Tōkyō : Tokyo Imperial Museum,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第1号 / Mizue No.1,00068414,http://mizue.bookarchive.jp/sassi/sassi_01.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1905-07-01,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第2号 / Mizue No.2,00068416,http://mizue.bookarchive.jp/sassi/sassi_02.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1905-08-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第3号 / Mizue No.3,00068418,http://mizue.bookarchive.jp/sassi/sassi_03.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1905-09-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第4号 / Mizue No.4,00068420,http://mizue.bookarchive.jp/sassi/sassi_04.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1905-10-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第5号 / Mizue No.5,00068422,http://mizue.bookarchive.jp/sassi/sassi_05.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1905-11-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第6号 / Mizue No.6,00068424,http://mizue.bookarchive.jp/sassi/sassi_06.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1905-12-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第7号 / Mizue No.7,00068426,http://mizue.bookarchive.jp/sassi/sassi_07.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-01-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第8号 / Mizue No.8,00068428,http://mizue.bookarchive.jp/sassi/sassi_08.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-02-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第9号 / Mizue No.9,00068430,http://mizue.bookarchive.jp/sassi/sassi_09.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-03-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第10号 / Mizue No.10,00068432,http://mizue.bookarchive.jp/sassi/sassi_10.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-04-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第11号 / Mizue No.11,00068434,http://mizue.bookarchive.jp/sassi/sassi_11.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-04-18,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第12号 / Mizue No.12,00068436,http://mizue.bookarchive.jp/sassi/sassi_12.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-05-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第13号 / Mizue No.13,00068438,http://mizue.bookarchive.jp/sassi/sassi_13.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-06-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第14号 / Mizue No.14,00068440,http://mizue.bookarchive.jp/sassi/sassi_14.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-07-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第15号 / Mizue No.15,00068442,http://mizue.bookarchive.jp/sassi/sassi_15.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-08-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第16号 / Mizue No.16,00068444,http://mizue.bookarchive.jp/sassi/sassi_16.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-09-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第17号 / Mizue No.17,00068446,http://mizue.bookarchive.jp/sassi/sassi_17.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-10-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第18号 / Mizue No.18,00068448,http://mizue.bookarchive.jp/sassi/sassi_18.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-11-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第19号 / Mizue No.19,00068450,http://mizue.bookarchive.jp/sassi/sassi_19.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1906-12-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第21号 / Mizue No.21,00068453,http://mizue.bookarchive.jp/sassi/sassi_21.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1907-02-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第22号 / Mizue No.22,00068455,http://mizue.bookarchive.jp/sassi/sassi_22.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1907-03-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第23号 / Mizue No.23,00068457,http://mizue.bookarchive.jp/sassi/sassi_23.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1907-04-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
みづゑ 第24号 / Mizue No.24,00068459,http://mizue.bookarchive.jp/sassi/sassi_24.html,東京文化財研究所 | 国立情報学研究所 / Tokyo National Research Institute for Cultural Properties | National Institute of Informatics,1907-05-03,東京 : 春鳥会 / Tōkyō : Shunchōkai ,,,,,,,,,,,,Japanese,,,,,,,,,,,,,,,,
